,id,neighborhood,latitude,longitude,price,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality,maid_room,unfurnished,balcony,barbecue_area,built_in_wardrobes,central_ac,childrens_play_area,childrens_pool,concierge,covered_parking,kitchen_appliances,lobby_in_building,maid_service,networked,pets_allowed,private_garden,private_gym,private_jacuzzi,private_pool,security,shared_gym,shared_pool,shared_spa,study,vastu_compliant,view_of_landmark,view_of_water,walk_in_closet
1490,7674437,Jumeirah Lake Towers,25.067137,55.139751,701150,758,1,2,High,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False
58,7081836,Business Bay,25.183133,55.25658000000001,1700000,1358,2,3,Medium,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
1514,7677550,Palm Jumeirah,25.113366,55.13609,1550000,1777,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1507,7676698,Motor City,25.044286,55.244499,950000,1413,2,3,Medium,False,True,True,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
363,7519980,Dubai Hills Estate,25.109367,55.247980000000005,900000,989,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1000,7637756,Downtown Dubai,25.198316,55.270758,3000000,1841,3,5,Medium,True,True,True,False,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
721,7604170,Barsha Heights (Tecom),25.10004,55.175161,1020000,1307,2,2,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1067,7645227,Downtown Dubai,25.186457,55.277512,1175000,1088,1,2,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False
1531,7678353,Dubai Marina,25.071365,55.124993,3100000,1806,3,4,Medium,True,True,True,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False
1160,7652314,Jumeirah Village Circle,25.051528,55.212972,950504,1415,2,3,Ultra,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
1315,7665037,Downtown Dubai,25.194282,55.271884,2900000,1555,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
889,7624875,Downtown Dubai,25.203035,55.280662,1600000,1202,2,3,Low,False,True,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
743,7606920,Jumeirah Village Circle,25.04866,55.20955,626999,813,1,2,Ultra,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
118,7272693,Business Bay,25.185823000000003,55.291922,2300000,1442,2,3,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1244,7659726,Dubai Hills Estate,25.109367,55.247980000000005,1450000,1362,2,3,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1404,7669561,Dubai Marina,25.086376,55.14736,949999,619,1,1,Medium,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
522,7578550,Palm Jumeirah,25.106668,55.149275,1150000,1184,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
513,7573028,Town Square,25.010196,55.291467,500000,589,1,1,Medium,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
81,7187416,Dubai Marina,25.072396,55.132386,1075000,1300,3,3,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True
1272,7661246,DAMAC Hills,25.020894,55.255571,1350000,1569,2,3,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
922,7628225,Dubai South (Dubai World Central),24.942372,55.228215000000006,425000,665,1,1,Medium,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
380,7525242,Jumeirah Village Circle,25.052714,55.199369,1150000,1607,3,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1612,7684637,Dubai Healthcare City,25.213527,55.320758,500000,474,0,1,High,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
84,7196848,Dubai Marina,25.08377,55.145075,1525000,1440,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1602,7683964,Dubai Harbour,25.0967,55.139276,2142888,1133,2,3,Ultra,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
329,7499773,Dubai Harbour,25.0967,55.139276,1750000,1109,2,3,Low,False,True,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1009,7638752,Jumeirah Beach Residence,25.082647,55.135003000000005,1880000,807,1,2,Medium,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
678,7599749,Jumeirah Village Circle,25.054336,55.203423,412000,375,0,1,High,True,True,True,False,True,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True
1200,7654553,Dubai Marina,25.090136,55.150381,2100000,1663,2,3,Medium,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1843,7700305,The Views,25.09003,55.170014,1750000,1642,2,3,Medium,False,True,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
1776,7696813,Jumeirah Village Circle,25.051528,55.212972,1113661,1194,2,3,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
451,7553095,Business Bay,25.185156,55.281116,725000,692,0,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
490,7564640,Mohammed Bin Rashid City,25.177819,55.308533,796195,493,1,1,Low,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
1412,7669800,Downtown Dubai,25.194328,55.269308,1270888,637,1,2,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
287,7498045,Jumeirah Beach Residence,25.072569,55.126527,2320000,1160,2,3,Low,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
1216,7657110,Motor City,25.045501,55.246843000000005,900000,1845,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1890,7704007,Jumeirah Beach Residence,25.072954,55.128089,3800000,1807,3,3,Medium,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False
1301,7663734,Palm Jumeirah,25.105959,55.148293,1100000,1303,1,2,High,True,True,True,False,True,True,True,False,True,True,True,False,True,False,True,False,False,False,False,True,True,True,False,True,False,True,True,True
1107,7650557,Jumeirah Village Circle,25.04866,55.20955,620502,851,1,2,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
1832,7699710,Dubai Harbour,25.09938,55.141275,2245888,1143,2,2,Medium,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
1700,7690656,Town Square,25.004936,55.296535,1088888,1365,3,3,Medium,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False
1625,7686496,Al Furjan,25.025999,55.13875,675000,877,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
727,7604528,Dubai Marina,25.087147,55.14668100000001,1801000,800,1,2,High,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,True,False
1771,7695887,Downtown Dubai,25.197316,55.274196,2099888,1133,1,2,Medium,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,True
1900,7705450,Mohammed Bin Rashid City,25.176892,55.310712,1500000,1087,2,2,Ultra,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
1036,7642676,Mohammed Bin Rashid City,25.171461,55.2758,1288888,742,1,2,Low,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1731,7693389,Al Barari,25.100474,55.31365400000001,1307392,966,1,2,Low,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
327,7499263,Palm Jumeirah,25.112193,55.138635,876888,353,0,1,Low,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1657,7687039,Business Bay,25.185823000000003,55.291922,1915000,2000,3,4,High,True,False,True,False,True,True,True,True,True,False,True,True,False,False,True,False,False,False,False,True,True,True,False,False,False,False,True,False
706,7601985,Jumeirah Village Circle,25.051528,55.212972,1113000,1465,2,3,Ultra,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,True,True,True
1029,7641570,Downtown Dubai,25.194547,55.282429,3799900,1580,2,2,Low,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
839,7617950,Town Square,25.01551,55.283111,675000,883,2,2,Medium,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False
798,7613272,Jumeirah Lake Towers,25.074521,55.143825,1300000,2063,2,4,Medium,True,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
177,7396883,The Hills,25.078492,55.15864200000001,1900000,1436,2,3,Medium,False,False,True,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
1053,7644036,Jumeirah Beach Residence,25.07359,55.126352,4610000,1789,2,3,Medium,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False
1742,7694647,Palm Jumeirah,25.125472,55.153066,1250000,791,1,2,Medium,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
86,7209091,Jumeirah Beach Residence,25.07851,55.136283,815000,779,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1341,7666706,Palm Jumeirah,25.114513,55.136122,3250000,4053,3,3,Medium,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False
1807,7698423,Jumeirah Village Circle,25.046296,55.200783,661504,675,1,2,Ultra,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True
457,7554451,Al Furjan,25.022618,55.14935,700000,1000,2,3,Medium,False,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
54,7065369,Jumeirah Beach Residence,25.072954,55.128089,2650000,1703,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1433,7670487,Dubai Marina,25.082518,55.146735,2490000,2490,3,4,Medium,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
643,7593664,Dubai Marina,25.082591,55.142183,760000,709,1,1,Medium,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,False,True,False
221,7442795,Dubai Marina,25.090418,55.14874,1250000,1348,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113,7269411,City Walk,25.205218,55.262688,3315000,1950,2,4,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
888,7624837,Old Town,25.188671,55.276396,1195000,919,1,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1611,7684632,Discovery Gardens,25.044519,55.137291000000005,300000,493,0,1,Low,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
905,7626662,Business Bay,25.188556,55.289173,16950000,4907,3,2,High,True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True
174,7396640,Jumeirah Village Circle,25.058746,55.209389,575000,771,1,2,Medium,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
990,7636524,Jumeirah Lake Towers,25.080143,55.152381000000005,425000,532,0,1,Low,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
589,7587467,Jumeirah Beach Residence,25.072954,55.128089,2300000,1703,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1489,7674392,Dubai Marina,25.086726,55.145205,2140000,1736,3,3,Medium,False,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
18,6562472,Downtown Dubai,25.19702,55.271023,1490000,1167,2,2,Medium,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
423,7545103,Dubai Marina,25.079966,55.139082,1250000,1210,2,3,Medium,False,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
1364,7667717,Downtown Dubai,25.19331,55.280919,2399998,1338,2,3,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
285,7498023,Jumeirah Beach Residence,25.072569,55.126527,1540000,640,1,2,Medium,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False
1764,7695742,Dubai Marina,25.072697,55.135862,4950888,2334,4,4,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
428,7545878,Dubai Harbour,25.099744,55.14145500000001,1225000,735,1,2,Medium,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
1441,7670734,Jumeirah Village Circle,25.058746,55.209389,426000,390,0,1,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1674,7688479,Palm Jumeirah,25.12913,55.152902000000005,1800000,1158,1,2,Medium,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
31,6861509,Palm Jumeirah,25.106809,55.151201,1260000,1646,2,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1096,7647809,Jumeirah Village Circle,25.056706,55.20790699999999,603000,997,1,2,Medium,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
900,7626264,Jumeirah Lake Towers,25.080238,55.151252,1425000,1690,2,2,Medium,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
214,7433552,Business Bay,25.181115,55.264953000000006,7500000,7344,3,5,Medium,True,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True
741,7606105,Jumeirah Village Circle,25.051384,55.2121,850000,900,1,2,Medium,False,True,True,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
326,7499249,Palm Jumeirah,25.112193,55.138635,649888,314,0,1,Medium,False,True,True,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
560,7583849,Dubai Marina,25.090418,55.14874,2200000,1748,3,3,Medium,False,False,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
1058,7644401,Jumeirah Beach Residence,25.079453,55.136014,1600000,1731,2,3,Medium,False,True,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False
736,7605700,Jumeirah Village Circle,25.066791,55.203684,620000,666,1,2,Medium,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True
1133,7651315,Dubai Marina,25.086376,55.14736,1450000,838,1,2,Medium,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
341,7505887,Al Barari,25.100921,55.313162,4500000,3845,3,4,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
629,7592101,Jumeirah Village Circle,25.048095,55.206373,610000,746,1,2,Medium,True,True,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True
147,7347633,The Views,25.089719,55.170481,1650000,1458,2,2,Medium,False,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
360,7518376,Dubai Marina,25.086376,55.14736,1890000,1255,2,3,Low,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
83,7195467,Dubai Marina,25.088431,55.146759,1200000,1180,2,2,Medium,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,True,True,True
48,7026636,Dubai Marina,25.089393,55.147796,2800000,3172,4,5,Low,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
468,7557592,Mohammed Bin Rashid City,25.171461,55.2758,1246305,780,1,2,High,False,False,True,False,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False
155,7367291,Jumeirah Lake Towers,25.075364,55.14530799999999,920000,1315,3,2,Medium,False,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
704,7601926,Jumeirah Village Circle,25.051528,55.212972,670000,880,1,2,Ultra,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
944,7630908,Meydan,25.150828,55.295714,1300000,1494,2,2,Medium,True,True,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1144,7651955,Jumeirah Village Circle,25.046296,55.200783,661205,671,1,2,Ultra,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True
1335,7666231,Town Square,25.005442,55.293914,670000,885,2,2,Medium,False,True,True,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
1146,7651962,Jumeirah Village Circle,25.051528,55.212972,630503,751,1,2,Ultra,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True
1557,7680396,The Views,25.091259,55.168657,1548000,1318,2,2,High,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False
500,7569595,Business Bay,25.178582,55.26624,849999,685,1,2,Medium,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
179,7398469,Jumeirah Beach Residence,25.072291,55.130280000000006,1150000,1289,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1303,7664000,The Views,25.093562,55.167857,999998,1351,2,2,Medium,False,True,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
931,7629278,Dubai Land,25.101565,55.370649,330000,634,1,1,Medium,False,True,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
1399,7669399,Palm Jumeirah,25.115834,55.139716,1550000,1975,2,3,Medium,False,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
834,7617815,Jumeirah Village Circle,25.049808,55.200832,425000,510,0,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1547,7679492,Dubai Marina,25.075284,55.134432,1900000,1443,2,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
528,7579647,Downtown Dubai,25.191719,55.270677,1900000,1538,2,3,Medium,False,True,True,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False
346,7508706,Bluewaters,25.079276,55.12067,3100000,1488,2,3,Low,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1320,7665141,Dubai Marina,25.071504,55.128579,1390000,1356,2,3,Medium,False,False,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1865,7702012,DIFC,25.209806,55.278974,795000,769,1,2,Medium,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False
1473,7672987,Downtown Dubai,25.186836,55.276951,940000,915,1,1,Medium,False,True,True,False,True,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False
1595,7683349,Greens,25.093469,55.173061,645000,754,1,1,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
915,7627404,Jumeirah Village Circle,25.057022,55.198917,1350000,2184,2,2,Medium,False,True,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
601,7588554,Palm Jumeirah,25.106964,55.111349,4400000,2005,3,2,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1629,7686682,Dubai Harbour,25.0967,55.139276,4335888,1700,3,3,Medium,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
243,7457041,Dubai Marina,25.090009,55.146294,1290000,2173,3,3,Medium,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False
810,7614958,The Views,25.088533,55.171838,890000,754,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1586,7682676,Dubai Creek Harbour (The Lagoons),25.20997,55.34522,2027888,1070,2,2,Medium,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,True,True,True,False,False,True,True,False
1407,7669765,Jumeirah Beach Residence,25.075624,55.132511,2400000,1813,3,3,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
312,7498811,Dubai Marina,25.071448,55.131088,1900000,2352,2,3,Medium,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
435,7547582,Dubai Creek Harbour (The Lagoons),25.204135,55.344345,780000,707,1,1,Low,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1858,7701733,Jumeirah Lake Towers,25.078148,55.148277,760888,904,1,2,Medium,False,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False
1061,7644656,Downtown Dubai,25.193806,55.284974,1550000,1040,1,2,Medium,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
308,7498593,Dubai Creek Harbour (The Lagoons),25.203844,55.34419499999999,1739999,1143,2,3,Medium,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False
430,7545932,Palm Jumeirah,25.111902,55.138103,1025888,720,1,2,Medium,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False
